"Annual Summaries for Precipitation (2024), Stn: KHOU"

Station:,HOUSTON WILLIAM P HOBBY AP,State:,TX,ID:,12918
Latitude:,29.64586 degreeN,Longitude:,95.28212 degreeW,Elevation:,43.0 feet
Station period of record:,pcpn: 08/01/1930-03/22/2025

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
01,0.55,0.00,0.00,0.00,T,0.18,0.02,0.00,0.11,0.00,0.00,0.00
02,0.91,0.04,0.00,T,1.37,0.00,0.00,0.00,0.04,0.00,0.33,0.00
03,0.32,1.45,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.30,T
04,T,0.00,T,0.00,0.01,0.00,0.00,0.00,0.57,0.00,0.07,0.21
05,1.30,0.00,0.01,0.00,0.28,0.85,0.00,0.00,T,0.00,0.62,0.01
06,0.00,0.00,0.00,0.00,0.00,0.00,0.76,T,0.16,0.00,0.00,0.00
07,0.00,0.00,0.05,0.00,0.00,0.00,0.61,0.00,0.00,0.00,0.00,T
08,1.06,0.00,0.08,0.02,0.00,0.00,6.65,0.00,0.00,0.00,0.07,0.19
09,0.01,T,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00
10,0.00,0.20,0.00,1.61,T,0.19,0.01,0.00,0.08,0.00,0.00,0.00
11,T,T,0.00,0.00,T,0.04,0.13,0.00,0.12,0.00,0.00,0.00
12,0.01,0.00,0.00,0.00,0.40,0.19,0.46,0.00,0.00,0.00,0.00,0.00
13,0.00,0.00,T,0.00,2.45,0.01,0.14,0.03,0.00,0.00,0.00,0.05
14,0.00,0.00,T,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00
15,0.05,0.00,T,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,0.00,0.15,0.05,0.00,1.30,0.00,0.00,0.00,0.00,0.00,T,T
17,0.00,0.00,0.31,T,0.24,0.03,0.16,T,0.00,0.00,0.57,T
18,0.01,0.00,T,0.00,0.00,0.22,T,0.00,0.00,0.00,0.42,0.10
19,0.00,0.00,T,0.00,0.00,1.21,0.00,0.00,0.00,0.00,0.00,0.00
20,0.00,0.00,0.04,T,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00
21,0.04,0.00,1.97,0.19,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
22,1.23,0.00,0.04,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00
23,0.13,0.00,0.00,0.00,0.00,0.00,T,0.00,0.00,0.00,0.00,0.00
24,1.90,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.25,0.00,0.00,0.93
25,0.61,0.00,0.07,0.00,0.00,0.00,1.43,T,0.27,0.00,0.00,0.87
26,0.28,0.00,0.00,T,0.00,0.06,0.40,0.98,0.00,0.00,0.00,0.76
27,0.00,0.00,0.01,T,0.00,0.00,0.42,T,0.00,0.00,0.00,0.00
28,0.00,0.00,0.00,0.06,1.74,0.00,0.27,0.00,0.00,0.00,0.00,0.08
29,0.00,T,0.00,1.26,0.08,0.02,0.00,0.44,0.00,0.00,0.00,0.00
30,0.00,M,0.00,0.00,0.01,0.01,0.00,0.10,0.00,0.23,0.00,0.00
31,0.00,M,0.00,M,1.13,M,0.00,0.06,M,1.69,M,0.00

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Max,1.9,1.45,1.97,1.61,2.45,1.21,6.65,0.98,0.57,1.69,0.62,0.93
DFN,4.32,-1.01,-0.65,-0.7,3.9,-3.04,7.5,-3.74,-4.16,-3.86,-1.49,-1.14
Sum,8.41,1.84,2.63,3.38,9.32,3.05,12.09,1.7,1.6,1.92,2.41,3.2

